method,split,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
cbf_safety_controller,clean_deployment,0.627195,0.001035,0.494691,0.002343,0.144232,0.000462,0.115222,0.000638,0.557092,0.000361,0.451185,0.000408,0.266179,0.000153,0.153320,0.000813,0.098906,0.000372,0.072700,0.000166,0.123066,0.000172,0.153996,0.000662,0.153209,0.000645,3840
cbf_safety_controller,combined_stress,0.581173,0.001224,0.384421,0.002564,0.169521,0.000463,0.147249,0.000644,0.539694,0.000356,0.433738,0.000405,0.273192,0.000155,0.169162,0.000816,0.110502,0.000367,0.080621,0.000168,0.131596,0.000180,0.182846,0.000665,0.181244,0.000648,3840
cbf_safety_controller,heldout_layout,0.606812,0.001107,0.450594,0.002427,0.152756,0.000459,0.126752,0.000641,0.550191,0.000359,0.444043,0.000404,0.269052,0.000155,0.159873,0.000814,0.103740,0.000369,0.075920,0.000166,0.126617,0.000175,0.164523,0.000662,0.163423,0.000645,3840
cbf_safety_controller,heldout_object,0.616134,0.001073,0.470385,0.002389,0.148890,0.000460,0.121630,0.000639,0.553118,0.000356,0.447072,0.000405,0.267818,0.000155,0.157043,0.000814,0.101660,0.000371,0.074511,0.000168,0.125011,0.000173,0.159879,0.000662,0.158887,0.000645,3840
cbf_safety_controller,heldout_payload,0.597383,0.001157,0.417543,0.002489,0.163734,0.000465,0.139227,0.000642,0.544858,0.000360,0.439059,0.000403,0.270965,0.000155,0.164111,0.000816,0.106925,0.000370,0.078180,0.000168,0.128793,0.000178,0.175385,0.000664,0.174025,0.000648,3840
chance_constrained_contact_mpc,clean_deployment,0.704229,0.000964,0.678754,0.002163,0.102594,0.000418,0.085207,0.000570,0.608800,0.000352,0.531256,0.000402,0.278382,0.000153,0.106710,0.000814,0.062191,0.000370,0.053056,0.000166,0.148406,0.000169,0.122630,0.000632,0.109036,0.000600,3840
chance_constrained_contact_mpc,combined_stress,0.664374,0.001101,0.579581,0.002332,0.125554,0.000421,0.113491,0.000573,0.591933,0.000349,0.514109,0.000397,0.285387,0.000154,0.122528,0.000816,0.073748,0.000367,0.060940,0.000166,0.156788,0.000176,0.149911,0.000635,0.134692,0.000603,3840
chance_constrained_contact_mpc,heldout_layout,0.686734,0.001025,0.639420,0.002243,0.110312,0.000420,0.095294,0.000574,0.601981,0.000352,0.524416,0.000403,0.281251,0.000153,0.113234,0.000816,0.066901,0.000366,0.056283,0.000166,0.151869,0.000170,0.132641,0.000636,0.118349,0.000602,3840
chance_constrained_contact_mpc,heldout_object,0.694971,0.000991,0.657553,0.002203,0.106627,0.000421,0.090724,0.000570,0.605034,0.000351,0.527388,0.000400,0.279972,0.000155,0.110432,0.000814,0.064871,0.000370,0.054858,0.000167,0.150336,0.000171,0.128082,0.000634,0.114117,0.000602,3840
chance_constrained_contact_mpc,heldout_payload,0.678711,0.001055,0.609373,0.002279,0.120437,0.000421,0.106560,0.000573,0.596819,0.000353,0.519421,0.000400,0.283198,0.000154,0.117527,0.000815,0.070060,0.000370,0.058521,0.000167,0.154182,0.000173,0.142885,0.000634,0.128160,0.000602,3840
